═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 02/10/2025, 16:50:49
Target Key: 642
Total Time: 3604 seconds
Total Bonds Created: 614
Total Nodes Spawned: 1282
Success Rate: 1/614 (0.16%)
───────────────────────────────────────────────────────────────

DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[15:50:45] Game started! Target key: 642
[15:51:50] Yellow node spawned at (102, 123)
[15:51:52] Yellow node spawned at (538, 77)
[15:51:52] Yellow node spawned at (419, 430)
[15:51:52] Yellow node spawned at (726, 88)
[15:51:54] Yellow node spawned at (490, 546)
[15:51:54] Yellow node spawned at (496, 314)
[15:51:54] Yellow node spawned at (688, 194)
[15:51:56] Yellow node spawned at (562, 293)
[15:51:56] Yellow node spawned at (237, 251)
[15:51:56] Yellow node spawned at (742, 311)
[15:52:03] Yellow node spawned at (305, 474)
[15:52:03] Yellow node spawned at (321, 287)
[15:52:03] Yellow node spawned at (750, 426)
[15:52:03] Nodes bonded! Generated code: 6
[15:52:03] Nodes bonded! Generated code: 809
[15:52:03] Nodes bonded! Generated code: 567
[15:52:03] Nodes bonded! Generated code: 738
[15:52:03] Nodes bonded! Generated code: 655
[15:52:03] Nodes bonded! Generated code: 600
[15:52:03] Nodes bonded! Generated code: 886
[15:52:03] Nodes bonded! Generated code: 736
[15:52:03] Nodes bonded! Generated code: 465
[15:52:03] Nodes bonded! Generated code: 473
[15:52:03] Nodes bonded! Generated code: 858
[15:52:03] Nodes bonded! Generated code: 409
[15:52:03] Nodes bonded! Generated code: 575
[15:52:03] Nodes bonded! Generated code: 158
[15:52:03] Nodes bonded! Generated code: 355
[15:52:03] Nodes bonded! Generated code: 835
[15:52:03] Nodes bonded! Generated code: 859
[15:52:03] Nodes bonded! Generated code: 705
[15:52:03] Nodes bonded! Generated code: 94
[15:52:03] Nodes bonded! Generated code: 264
[15:52:03] Nodes bonded! Generated code: 18
[15:52:03] Nodes bonded! Generated code: 845
[15:52:03] Nodes bonded! Generated code: 441
[15:52:03] Nodes bonded! Generated code: 687
[15:52:03] Nodes bonded! Generated code: 218
[15:52:03] Green node dissipated (code: 120)
[15:52:03] Green node dissipated (code: 20)
[15:52:03] Green node dissipated (code: 132)
[15:52:03] Green node dissipated (code: 125)
[15:52:03] Green node dissipated (code: 125)
[15:52:03] Green node dissipated (code: 20)
[15:52:03] Green node dissipated (code: 132)
[15:52:03] Green node dissipated (code: 120)
[15:52:06] Yellow node spawned at (450, 516)
[15:52:06] Yellow node spawned at (568, 547)
[15:52:06] Yellow node spawned at (349, 215)
[15:52:08] Yellow node spawned at (614, 274)
[15:52:08] Yellow node spawned at (233, 409)
[15:52:08] Yellow node spawned at (361, 399)
[15:52:10] Yellow node spawned at (84, 150)
[15:52:10] Yellow node spawned at (489, 380)
[15:52:10] Yellow node spawned at (637, 496)
[15:52:12] Yellow node spawned at (625, 287)
[15:52:12] Yellow node spawned at (394, 413)
[15:52:12] Yellow node spawned at (408, 220)
[15:52:14] Yellow node spawned at (655, 551)
[15:52:14] Yellow node spawned at (276, 429)
[15:52:14] Yellow node spawned at (727, 366)
[15:52:16] Yellow node spawned at (672, 205)
[15:52:16] Yellow node spawned at (752, 375)
[15:52:16] Yellow node spawned at (159, 373)
[15:52:18] Yellow node spawned at (232, 358)
[15:52:18] Yellow node spawned at (256, 46)
[15:52:18] Yellow node spawned at (755, 110)
[15:52:20] Yellow node spawned at (666, 256)
[15:52:20] Yellow node spawned at (396, 104)
[15:52:20] Yellow node spawned at (628, 553)
[15:52:22] Yellow node spawned at (586, 282)
[15:52:22] Yellow node spawned at (321, 63)
[15:52:22] Yellow node spawned at (620, 377)
[15:52:24] Yellow node spawned at (490, 140)
[15:52:24] Yellow node spawned at (169, 336)
[15:52:24] Yellow node spawned at (682, 310)
[15:52:26] Yellow node spawned at (304, 514)
[15:52:26] Yellow node spawned at (598, 502)
[15:52:26] Yellow node spawned at (456, 436)
[15:52:28] Yellow node spawned at (219, 193)
[15:52:28] Yellow node spawned at (434, 272)
[15:52:28] Yellow node spawned at (394, 284)
[15:52:30] Yellow node spawned at (313, 230)
[15:52:30] Yellow node spawned at (541, 320)
[15:52:30] Yellow node spawned at (479, 567)
[15:52:32] Yellow node spawned at (673, 257)
[15:52:32] Yellow node spawned at (709, 415)
[15:52:32] Yellow node spawned at (423, 219)
[15:52:34] Yellow node spawned at (254, 55)
[15:52:34] Yellow node spawned at (373, 237)
[15:52:34] Yellow node spawned at (707, 462)
[15:52:36] Yellow node spawned at (254, 309)
[15:52:36] Yellow node spawned at (742, 376)
[15:52:36] Yellow node spawned at (478, 532)
[15:52:38] Yellow node spawned at (96, 522)
[15:52:38] Yellow node spawned at (251, 211)
[15:52:38] Yellow node spawned at (35, 44)
[15:52:40] Yellow node spawned at (460, 301)
[15:52:40] Yellow node spawned at (618, 212)
[15:52:40] Yellow node spawned at (222, 201)
[15:52:42] Yellow node spawned at (306, 437)
[15:52:42] Yellow node spawned at (330, 120)
[15:52:42] Yellow node spawned at (188, 45)
[15:52:44] Yellow node spawned at (98, 235)
[15:52:44] Yellow node spawned at (506, 326)
[15:52:44] Yellow node spawned at (541, 325)
[15:52:46] Yellow node spawned at (396, 282)
[15:52:46] Yellow node spawned at (706, 543)
[15:52:46] Yellow node spawned at (598, 286)
[15:52:48] Yellow node spawned at (200, 175)
[15:52:48] Yellow node spawned at (71, 88)
[15:52:48] Yellow node spawned at (705, 261)
[15:52:50] Yellow node spawned at (266, 348)
[15:52:50] Yellow node spawned at (383, 205)
[15:52:50] Yellow node spawned at (288, 282)
[15:52:52] Yellow node spawned at (413, 519)
[15:52:52] Yellow node spawned at (526, 89)
[15:52:52] Yellow node spawned at (682, 308)
[15:52:54] Yellow node spawned at (494, 415)
[15:52:54] Yellow node spawned at (680, 330)
[15:52:54] Yellow node spawned at (296, 137)
[15:52:56] Yellow node spawned at (732, 502)
[15:52:56] Yellow node spawned at (708, 70)
[15:52:56] Yellow node spawned at (319, 489)
[15:52:58] Yellow node spawned at (491, 351)
[15:52:58] Yellow node spawned at (731, 315)
[15:52:58] Yellow node spawned at (321, 541)
[15:53:00] Yellow node spawned at (641, 77)
[15:53:00] Yellow node spawned at (457, 368)
[15:53:00] Yellow node spawned at (218, 352)
[15:53:02] Yellow node spawned at (469, 276)
[15:53:02] Yellow node spawned at (345, 411)
[15:53:02] Yellow node spawned at (753, 291)
[15:53:12] Yellow node spawned at (482, 172)
[15:53:12] Yellow node spawned at (191, 506)
[15:53:12] Yellow node spawned at (167, 564)
[15:53:40] Yellow node spawned at (484, 395)
[15:53:40] Yellow node spawned at (697, 208)
[15:53:40] Yellow node spawned at (97, 432)
[15:53:40] Nodes bonded! Generated code: 9
[15:53:40] Nodes bonded! Generated code: 720
[15:53:40] Nodes bonded! Generated code: 325
[15:53:40] Nodes bonded! Generated code: 836
[15:53:40] Nodes bonded! Generated code: 639
[15:53:40] Nodes bonded! Generated code: 715
[15:53:40] Nodes bonded! Generated code: 753
[15:53:40] Nodes bonded! Generated code: 843
[15:53:40] Nodes bonded! Generated code: 111
[15:53:40] Nodes bonded! Generated code: 514
[15:53:40] Nodes bonded! Generated code: 879
[15:53:40] Nodes bonded! Generated code: 790
[15:53:40] Nodes bonded! Generated code: 340
[15:53:40] Nodes bonded! Generated code: 382
[15:53:40] Nodes bonded! Generated code: 823
[15:53:40] Nodes bonded! Generated code: 385
[15:53:40] Nodes bonded! Generated code: 56
[15:53:40] Nodes bonded! Generated code: 266
[15:53:40] Nodes bonded! Generated code: 847
[15:53:40] Nodes bonded! Generated code: 182
[15:53:40] Nodes bonded! Generated code: 50
[15:53:40] Nodes bonded! Generated code: 118
[15:53:40] Nodes bonded! Generated code: 587
[15:53:40] Nodes bonded! Generated code: 565
[15:53:40] Nodes bonded! Generated code: 660
[15:53:40] Nodes bonded! Generated code: 825
[15:53:40] Nodes bonded! Generated code: 24
[15:53:40] Nodes bonded! Generated code: 799
[15:53:40] Nodes bonded! Generated code: 876
[15:53:40] Nodes bonded! Generated code: 463
[15:53:40] Nodes bonded! Generated code: 585
[15:53:40] Nodes bonded! Generated code: 803
[15:53:40] Nodes bonded! Generated code: 225
[15:53:40] Nodes bonded! Generated code: 438
[15:53:40] Nodes bonded! Generated code: 529
[15:53:40] Nodes bonded! Generated code: 318
[15:53:40] Nodes bonded! Generated code: 821
[15:53:40] Nodes bonded! Generated code: 964
[15:53:40] Nodes bonded! Generated code: 912
[15:53:40] Nodes bonded! Generated code: 878
[15:53:40] Nodes bonded! Generated code: 695
[15:53:40] Nodes bonded! Generated code: 916
[15:53:40] Nodes bonded! Generated code: 844
[15:53:40] Nodes bonded! Generated code: 655
[15:53:40] Nodes bonded! Generated code: 894
[15:53:40] Nodes bonded! Generated code: 137
[15:53:40] Nodes bonded! Generated code: 458
[15:53:40] Green node dissipated (code: 409)
[15:53:40] Green node dissipated (code: 835)
[15:53:40] Green node dissipated (code: 264)
[15:53:40] Green node dissipated (code: 575)
[15:53:40] Green node dissipated (code: 473)
[15:53:40] Green node dissipated (code: 218)
[15:53:40] Green node dissipated (code: 845)
[15:53:40] Green node dissipated (code: 441)
[15:53:40] Green node dissipated (code: 355)
[15:53:40] Green node dissipated (code: 705)
[15:53:40] Green node dissipated (code: 687)
[15:53:40] Green node dissipated (code: 858)
[15:53:40] Green node dissipated (code: 18)
[15:53:40] Green node dissipated (code: 655)
[15:53:40] Green node dissipated (code: 218)
[15:53:40] Green node dissipated (code: 600)
[15:53:40] Green node dissipated (code: 738)
[15:53:40] Green node dissipated (code: 687)
[15:53:40] Green node dissipated (code: 441)
[15:53:40] Green node dissipated (code: 6)
[15:53:40] Green node dissipated (code: 567)
[15:53:40] Green node dissipated (code: 886)
[15:53:40] Green node dissipated (code: 94)
[15:53:40] Green node dissipated (code: 809)
[15:53:40] Green node dissipated (code: 845)
[15:53:40] Green node dissipated (code: 18)
[15:53:40] Green node dissipated (code: 264)
[15:53:40] Green node dissipated (code: 859)
[15:53:40] Green node dissipated (code: 94)
[15:53:40] Green node dissipated (code: 705)
[15:53:40] Green node dissipated (code: 158)
[15:53:40] Green node dissipated (code: 859)
[15:53:40] Green node dissipated (code: 835)
[15:53:40] Green node dissipated (code: 355)
[15:53:40] Green node dissipated (code: 465)
[15:53:40] Green node dissipated (code: 575)
[15:53:40] Green node dissipated (code: 736)
[15:53:40] Green node dissipated (code: 409)
[15:53:40] Green node dissipated (code: 473)
[15:53:40] Green node dissipated (code: 736)
[15:53:40] Green node dissipated (code: 886)
[15:53:40] Green node dissipated (code: 600)
[15:53:40] Green node dissipated (code: 655)
[15:53:40] Green node dissipated (code: 567)
[15:53:40] Green node dissipated (code: 809)
[15:53:40] Green node dissipated (code: 6)
[15:53:40] Nodes bonded! Generated code: 292
[15:53:40] Nodes bonded! Generated code: 297
[15:53:40] Nodes bonded! Generated code: 947
[15:53:40] Nodes bonded! Generated code: 186
[15:53:40] Nodes bonded! Generated code: 165
[15:53:40] Nodes bonded! Generated code: 471
[15:53:40] Nodes bonded! Generated code: 98
[15:53:40] Nodes bonded! Generated code: 894
[15:53:40] Nodes bonded! Generated code: 559
[15:53:40] Nodes bonded! Generated code: 392
[15:53:40] Nodes bonded! Generated code: 477
[15:53:40] Nodes bonded! Generated code: 309
[15:53:40] Nodes bonded! Generated code: 608
[15:53:40] Nodes bonded! Generated code: 169
[15:53:40] Nodes bonded! Generated code: 934
[15:53:40] Nodes bonded! Generated code: 723
[15:53:41] Nodes bonded! Generated code: 806
[15:53:41] Nodes bonded! Generated code: 763
[15:53:41] Nodes bonded! Generated code: 733
[15:53:41] Nodes bonded! Generated code: 882
[15:53:41] Nodes bonded! Generated code: 296
[15:53:41] Nodes bonded! Generated code: 268
[15:53:42] Yellow node spawned at (436, 180)
[15:53:42] Yellow node spawned at (81, 278)
[15:53:42] Yellow node spawned at (382, 329)
[15:53:44] Yellow node spawned at (563, 397)
[15:53:44] Yellow node spawned at (276, 455)
[15:53:44] Yellow node spawned at (489, 389)
[15:53:46] Yellow node spawned at (358, 174)
[15:53:46] Yellow node spawned at (609, 516)
[15:53:46] Yellow node spawned at (228, 56)
[15:53:48] Yellow node spawned at (595, 311)
[15:53:48] Yellow node spawned at (627, 338)
[15:53:48] Yellow node spawned at (461, 323)
[15:53:49] Yellow node spawned at (144, 291)
[15:53:49] Yellow node spawned at (258, 251)
[15:53:49] Yellow node spawned at (325, 57)
[15:53:49] Nodes bonded! Generated code: 479
[15:53:49] Nodes bonded! Generated code: 382
[15:53:49] Nodes bonded! Generated code: 80
[15:53:49] Green node dissipated (code: 803)
[15:53:49] Green node dissipated (code: 878)
[15:53:49] Green node dissipated (code: 821)
[15:53:49] Green node dissipated (code: 529)
[15:53:49] Green node dissipated (code: 186)
[15:53:49] Green node dissipated (code: 385)
[15:53:49] Green node dissipated (code: 296)
[15:53:49] Green node dissipated (code: 382)
[15:53:49] Green node dissipated (code: 325)
[15:53:49] Green node dissipated (code: 438)
[15:53:49] Green node dissipated (code: 318)
[15:53:49] Green node dissipated (code: 715)
[15:53:49] Green node dissipated (code: 225)
[15:53:49] Green node dissipated (code: 763)
[15:53:49] Green node dissipated (code: 660)
[15:53:49] Green node dissipated (code: 882)
[15:53:49] Green node dissipated (code: 565)
[15:53:49] Green node dissipated (code: 182)
[15:53:49] Green node dissipated (code: 118)
[15:53:49] Green node dissipated (code: 720)
[15:53:49] Green node dissipated (code: 463)
[15:53:49] Green node dissipated (code: 639)
[15:53:49] Green node dissipated (code: 268)
[15:53:49] Green node dissipated (code: 894)
[15:53:49] Green node dissipated (code: 844)
[15:53:49] Green node dissipated (code: 836)
[15:53:49] Green node dissipated (code: 137)
[15:53:49] Green node dissipated (code: 458)
[15:53:49] Green node dissipated (code: 723)
[15:53:49] Green node dissipated (code: 585)
[15:53:49] Green node dissipated (code: 847)
[15:53:49] Green node dissipated (code: 165)
[15:53:49] Green node dissipated (code: 655)
[15:53:49] Green node dissipated (code: 947)
[15:53:49] Green node dissipated (code: 340)
[15:53:49] Green node dissipated (code: 297)
[15:53:49] Green node dissipated (code: 477)
[15:53:49] Green node dissipated (code: 753)
[15:53:49] Green node dissipated (code: 309)
[15:53:49] Green node dissipated (code: 790)
[15:53:49] Green node dissipated (code: 763)
[15:53:49] Green node dissipated (code: 894)
[15:53:49] Green node dissipated (code: 296)
[15:53:49] Green node dissipated (code: 695)
[15:53:49] Green node dissipated (code: 964)
[15:53:49] Green node dissipated (code: 894)
[15:53:49] Green node dissipated (code: 916)
[15:53:49] Green node dissipated (code: 934)
[15:53:49] Green node dissipated (code: 458)
[15:53:49] Green node dissipated (code: 477)
[15:53:49] Green node dissipated (code: 137)
[15:53:49] Green node dissipated (code: 723)
[15:53:49] Green node dissipated (code: 894)
[15:53:49] Green node dissipated (code: 934)
[15:53:49] Green node dissipated (code: 882)
[15:53:49] Green node dissipated (code: 733)
[15:53:49] Green node dissipated (code: 587)
[15:53:49] Green node dissipated (code: 799)
[15:53:49] Green node dissipated (code: 559)
[15:53:49] Green node dissipated (code: 292)
[15:53:49] Green node dissipated (code: 844)
[15:53:49] Green node dissipated (code: 912)
[15:53:49] Green node dissipated (code: 98)
[15:53:49] Green node dissipated (code: 916)
[15:53:49] Green node dissipated (code: 695)
[15:53:49] Green node dissipated (code: 876)
[15:53:49] Green node dissipated (code: 24)
[15:53:49] Green node dissipated (code: 879)
[15:53:49] Green node dissipated (code: 878)
[15:53:49] Green node dissipated (code: 514)
[15:53:49] Green node dissipated (code: 733)
[15:53:49] Green node dissipated (code: 912)
[15:53:49] Green node dissipated (code: 964)
[15:53:49] Green node dissipated (code: 392)
[15:53:49] Green node dissipated (code: 111)
[15:53:49] Green node dissipated (code: 266)
[15:53:49] Green node dissipated (code: 821)
[15:53:49] Green node dissipated (code: 471)
[15:53:49] Green node dissipated (code: 825)
[15:53:49] Green node dissipated (code: 843)
[15:53:49] Green node dissipated (code: 9)
[15:53:49] Green node dissipated (code: 56)
[15:53:49] Green node dissipated (code: 309)
[15:53:49] Green node dissipated (code: 806)
[15:53:49] Green node dissipated (code: 165)
[15:53:49] Green node dissipated (code: 529)
[15:53:49] Green node dissipated (code: 225)
[15:53:49] Green node dissipated (code: 268)
[15:53:49] Green node dissipated (code: 186)
[15:53:49] Green node dissipated (code: 392)
[15:53:49] Green node dissipated (code: 803)
[15:53:49] Green node dissipated (code: 559)
[15:53:49] Green node dissipated (code: 585)
[15:53:49] Green node dissipated (code: 98)
[15:53:49] Green node dissipated (code: 463)
[15:53:49] Green node dissipated (code: 799)
[15:53:49] Green node dissipated (code: 169)
[15:53:49] Green node dissipated (code: 50)
[15:53:49] Green node dissipated (code: 947)
[15:53:49] Green node dissipated (code: 825)
[15:53:49] Green node dissipated (code: 660)
[15:53:49] Green node dissipated (code: 118)
[15:53:49] Green node dissipated (code: 182)
[15:53:49] Green node dissipated (code: 823)
[15:53:49] Green node dissipated (code: 847)
[15:53:49] Green node dissipated (code: 266)
[15:53:49] Green node dissipated (code: 56)
[15:53:49] Green node dissipated (code: 608)
[15:53:49] Green node dissipated (code: 297)
[15:53:49] Green node dissipated (code: 385)
[15:53:49] Green node dissipated (code: 382)
[15:53:49] Green node dissipated (code: 340)
[15:53:49] Green node dissipated (code: 169)
[15:53:49] Green node dissipated (code: 608)
[15:53:49] Green node dissipated (code: 790)
[15:53:49] Green node dissipated (code: 111)
[15:53:49] Green node dissipated (code: 753)
[15:53:49] Green node dissipated (code: 806)
[15:53:49] Green node dissipated (code: 292)
[15:53:49] Green node dissipated (code: 471)
[15:53:49] Green node dissipated (code: 715)
[15:53:49] Green node dissipated (code: 639)
[15:53:49] Green node dissipated (code: 836)
[15:53:49] Green node dissipated (code: 325)
[15:53:49] Green node dissipated (code: 720)
[15:53:52] Yellow node spawned at (514, 258)
[15:53:52] Yellow node spawned at (32, 472)
[15:53:52] Yellow node spawned at (251, 218)
[15:53:54] Yellow node spawned at (200, 548)
[15:53:54] Yellow node spawned at (708, 109)
[15:53:54] Yellow node spawned at (215, 567)
[15:53:56] Yellow node spawned at (573, 105)
[15:53:56] Yellow node spawned at (175, 264)
[15:53:56] Yellow node spawned at (388, 66)
[15:53:58] Yellow node spawned at (718, 159)
[15:53:58] Yellow node spawned at (200, 234)
[15:53:58] Yellow node spawned at (286, 210)
[15:54:00] Yellow node spawned at (89, 227)
[15:54:00] Yellow node spawned at (214, 298)
[15:54:00] Yellow node spawned at (547, 317)
[15:54:02] Yellow node spawned at (175, 436)
[15:54:02] Yellow node spawned at (695, 370)
[15:54:02] Yellow node spawned at (123, 64)
[15:54:04] Yellow node spawned at (712, 458)
[15:54:04] Yellow node spawned at (462, 249)
[15:54:04] Yellow node spawned at (604, 298)
[15:54:06] Yellow node spawned at (490, 272)
[15:54:06] Yellow node spawned at (321, 190)
[15:54:06] Yellow node spawned at (298, 555)
[15:54:08] Yellow node spawned at (215, 210)
[15:54:08] Yellow node spawned at (710, 321)
[15:54:08] Yellow node spawned at (665, 263)
[15:54:10] Yellow node spawned at (493, 45)
[15:54:10] Yellow node spawned at (435, 311)
[15:54:10] Yellow node spawned at (470, 305)
[15:54:12] Yellow node spawned at (91, 558)
[15:54:12] Yellow node spawned at (605, 377)
[15:54:12] Yellow node spawned at (452, 213)
[15:54:14] Yellow node spawned at (496, 324)
[15:54:14] Yellow node spawned at (518, 235)
[15:54:14] Yellow node spawned at (646, 134)
[15:54:16] Yellow node spawned at (330, 106)
[15:54:16] Yellow node spawned at (488, 548)
[15:54:16] Yellow node spawned at (205, 444)
[15:54:18] Yellow node spawned at (301, 405)
[15:54:18] Yellow node spawned at (521, 269)
[15:54:18] Yellow node spawned at (670, 112)
[15:54:20] Yellow node spawned at (497, 378)
[15:54:20] Yellow node spawned at (53, 171)
[15:54:20] Yellow node spawned at (243, 172)
[15:54:22] Yellow node spawned at (126, 381)
[15:54:22] Yellow node spawned at (716, 371)
[15:54:22] Yellow node spawned at (694, 534)
[15:54:24] Yellow node spawned at (564, 41)
[15:54:24] Yellow node spawned at (154, 342)
[15:54:24] Yellow node spawned at (229, 370)
[15:54:26] Yellow node spawned at (440, 454)
[15:54:26] Yellow node spawned at (720, 245)
[15:54:26] Yellow node spawned at (585, 466)
[15:54:28] Yellow node spawned at (729, 489)
[15:54:28] Yellow node spawned at (204, 138)
[15:54:28] Yellow node spawned at (595, 559)
[15:54:30] Yellow node spawned at (685, 41)
[15:54:30] Yellow node spawned at (319, 260)
[15:54:30] Yellow node spawned at (504, 417)
[15:54:32] Yellow node spawned at (179, 257)
[15:54:32] Yellow node spawned at (123, 528)
[15:54:32] Yellow node spawned at (73, 410)
[15:54:34] Yellow node spawned at (128, 238)
[15:54:34] Yellow node spawned at (240, 388)
[15:54:34] Yellow node spawned at (634, 438)
[15:54:36] Yellow node spawned at (604, 218)
[15:54:36] Yellow node spawned at (351, 179)
[15:54:36] Yellow node spawned at (547, 167)
[15:54:38] Yellow node spawned at (507, 454)
[15:54:38] Yellow node spawned at (292, 474)
[15:54:38] Yellow node spawned at (166, 101)
[15:54:40] Yellow node spawned at (92, 402)
